host_id,neighbourhood,latitude,longitude,room_type,price in $,minimum_nights,availability_365,Apartment_type,City,Rating,No_of_bed_rooms,No_of_beds,No_of_bathrooms,Bathroom_type
3159.0,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,69.0,3.0,7.0,Condo,Amsterdam,4.89,1.0,1.0,1.5,shared
59484.0,Centrum-Oost,52.36407,4.89393,Private room,106.0,1.0,0.0,Townhouse,Amsterdam,4.44,1.0,1.0,,private
1100324.0,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,270.0,4.0,2.0,Rental unit,Amsterdam,4.86,3.0,3.0,1.5,private
748161.0,Oud-Oost,52.3642,4.92829,Entire home/apt,200.0,3.0,0.0,Rental unit,Amsterdam,4.76,1.0,1.0,1.5,private
97647.0,Centrum-West,52.38761,4.89188,Private room,137.0,3.0,0.0,Houseboat,Amsterdam,4.94,1.0,1.0,1.5,private
776296.0,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,170.0,3.0,157.0,Rental unit,Amsterdam,4.77,1.0,1.0,1.0,private
1107389.0,Centrum-West,52.37169,4.89446,Private room,115.0,3.0,0.0,Rental unit,Amsterdam,4.82,1.0,1.0,,private
124245.0,Centrum-West,52.36775,4.89092,Private room,79.0,2.0,97.0,Rental unit,Amsterdam,4.87,1.0,1.0,1.0,shared
1135329.0,Centrum-West,52.36883,4.88749,Private room,300.0,2.0,126.0,Guest suite,Amsterdam,4.88,1.0,1.0,,private
436145.0,Centrum-West,52.37956,4.89359,Private room,126.0,3.0,0.0,Boutique hotel,Amsterdam,4.59,1.0,1.0,1.5,private
815989.0,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120.0,3.0,0.0,Rental unit,Amsterdam,4.75,2.0,2.0,1.0,private
124245.0,Centrum-Oost,52.36584,4.89111,Private room,59.0,2.0,115.0,Rental unit,Amsterdam,4.8,1.0,1.0,1.0,shared
1155595.0,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,145.0,3.0,2.0,Rental unit,Amsterdam,4.71,1.0,1.0,1.5,private
194779.0,Centrum-Oost,52.37168,4.91471,Entire home/apt,240.0,3.0,0.0,Rental unit,Amsterdam,4.72,2.0,2.0,1.5,private
1005087.0,Centrum-West,52.36815,4.88604,Entire home/apt,675.0,2.0,271.0,Guest suite,Amsterdam,4.84,2.0,2.0,1.5,private
